EX_glc_LPAREN_e_RPAREN_,-0.015214183962927,0,,-0.002387662266624
EX_nh4_LPAREN_e_RPAREN_,-0.007990666384852,0,,-0.001254027995112
EX_so4_LPAREN_e_RPAREN_,-0.003946406913782,0,,-0.000619335673852
EX_k_LPAREN_e_RPAREN_,-0.038614016656383,0,,-0.006059952394285
EX_cit_LPAREN_e_RPAREN_,-0.00050917148726,0,,-7.99076408129316E-05
EX_mg2_LPAREN_e_RPAREN_,-0.000459252820167,0,,-7.20735750419021E-05
EX_ca2_LPAREN_e_RPAREN_,-1.56671400200988E-06,0,,-2.45874764910527E-07
EX_cl_LPAREN_e_RPAREN_,-8.92860830121075E-05,0,,-1.40122540822516E-05
EX_fe3_LPAREN_e_RPAREN_,-2.8485218837617E-05,0,,-4.47037332668189E-06
EX_zn2_LPAREN_e_RPAREN_,-2.88363258495778E-07,0,,-4.52547486653763E-08
EX_cu2_LPAREN_e_RPAREN_,-2.95194129973215E-07,0,,-4.63267623937877E-08
EX_mn2_LPAREN_e_RPAREN_,-4.08831060840812E-07,0,,-6.41605556875097E-08
EX_cobalt2_LPAREN_e_RPAREN_,-3.48499247618353E-07,0,,-5.46922861924597E-08
EX_na1_LPAREN_e_RPAREN_,-0.005370238902098,0,,-0.000842787021673
EX_pi_LPAREN_e_RPAREN_,-0.024622053212874,0,,-0.003864101257513
